,# BATH,# BED,# BLDG,# COMM,# FIREPLACE,# FLOORS,# POWDER,# ROOMS,# UNITS,# UNITS.1,ADDRESS,AIRPORT NOISE,ATTIC,ATTIC COND,BASEMENT,BASEMENT COND,BATH,BED,BLDG ASSD $ PY,BLDG CAT,BLDG CODE,BLDG CODE DEF,BLDG CODE.1,CATHEDRAL CEILING,CENTRAL AIR,CENTRAL AIR ,CENTRAL HEATING,CITY,CONST QUALITY,Deed No.,ENCLOSED PORCH,EXT MATERIAL,FEMA,GARAGE 1,GARAGE 1 AREA,GARAGE 1 MATERIAL,GARAGE AREA,GARAGE ATTACHED,GSF,INT COND,LAND ASSD $ PY,LAND ASSD $ py,LAND SF,LATITUDE,LONGITUDE,Modeling Group,NEIGHBORHOOD,Near Major Road,OTHER HEATING,PIN,ROOF MATERIAL,STATE,Sale Date,TAX YEAR,TOWN,Total Building Square Feet,Town and Neighborhood,YEAR BUILT,ZIP,SALE PRICE,SALE DATE,PROPERTY TYPE
10,2.0,2.0,2.0,0.0,1.0,1.5,0.0,6.0,0.0,,3141 NORTH OSCEOLA AVENUE,0.0,1.0,1.0,1.0,3.0,,,"220,150",5,203,MEDIUM 1 STORY,1.0,0.0,,0.0,2.0,,2.0,1910206106.0,1.0,1.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"77,300",6184,41.9374465,-87.81247101,SF,371.0,0.0,5.0,12252000000000,1.0,,1/1/2020,2019.0,71.0,,71371.0,95.0,,369000.0,2020-02-04 00:00:00,Single Family Residence
11,6.0,12.0,2.0,0.0,1.0,3,0.0,30.0,6.0,,1940 NORTH HUMBOLDT BOULEVARD,0.0,3.0,0.0,1.0,3.0,,,"713,550",3,211,MULTI: 2 TO 6 UNITS,2.0,0.0,,0.0,2.0,,2.0,1911301152.0,0.0,2.0,0.0,0,nan,2.0,0.0,0,,1.0,,"223,120",8750,41.91686603,-87.7028542,MF,30.0,0.0,5.0,13363000000000,2.0,,1/1/2020,2019.0,77.0,,7730.0,99.0,,1465000.0,2019-04-23 00:00:00,Apartment house (5+ units)
12,3.0,6.0,2.0,0.0,1.0,3,1.0,15.0,3.0,,2845 WEST PALMER STREET,0.0,3.0,0.0,1.0,3.0,,,"518,080",3,211,MULTI: 2 TO 6 UNITS,2.0,2.0,,0.0,1.0,,2.0,1911417139.0,0.0,2.0,0.0,2,nan,1.0,0.0,0,,2.0,,"133,870",5250,41.9213774,-87.69906468,MF,30.0,0.0,2.0,13361100000000,1.0,,1/1/2020,2019.0,77.0,,7730.0,120.0,,875000.0,2020-02-14 00:00:00,Apartment house (5+ units)
13,1.0,3.0,2.0,0.0,1.0,2,0.0,6.0,0.0,,7006 WEST NEWPORT AVENUE,0.0,3.0,0.0,1.0,3.0,,,"257,900",2,205,2 OR MORE STORIES,1.0,0.0,,0.0,1.0,,2.0,1911533004.0,0.0,2.0,0.0,1.5,nan,2.0,0.0,0,,2.0,,"54,370",3750,41.94288982,-87.8018112,SF,140.0,0.0,5.0,13193100000000,1.0,,1/1/2020,2019.0,71.0,,71140.0,79.0,,349000.0,2020-02-05 00:00:00,Single Family Residence
14,6.0,12.0,2.0,0.0,1.0,3,0.0,24.0,6.0,,3945 NORTH GREENVIEW AVENUE,0.0,3.0,0.0,1.0,3.0,,,"1,020,600",3,211,MULTI: 2 TO 6 UNITS,2.0,2.0,,0.0,2.0,,2.0,1912357010.0,0.0,2.0,0.0,0,nan,0.0,0.0,0,,2.0,,"147,840",2310,41.95389395,-87.66729115,MF,84.0,0.0,5.0,14201000000000,2.0,,1/1/2020,2019.0,73.0,,7384.0,120.0,,1050000.0,2019-05-03 00:00:00,Apartment house (5+ units)
15,1.0,3.0,2.0,0.0,1.0,1,0.0,5.0,0.0,,3217 NORTH OZANAM AVENUE,0.0,3.0,0.0,1.0,1.0,,,"191,720",1,203,MEDIUM 1 STORY,1.0,0.0,,1.0,1.0,,2.0,1912301141.0,0.0,3.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"46,870",3750,41.93845972,-87.82107816,SF,371.0,0.0,5.0,12243300000000,1.0,,1/1/2020,2019.0,71.0,,71371.0,57.0,,350000.0,2020-02-19 00:00:00,Single Family Residence
16,1.0,3.0,2.0,0.0,1.0,1,0.0,5.0,0.0,,3347 NORTH NATCHEZ AVENUE,0.0,3.0,0.0,1.0,3.0,,,"179,580",1,203,MEDIUM 1 STORY,1.0,2.0,,1.0,1.0,,2.0,1912749083.0,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"52,700",4216,41.94143811,-87.78825701,SF,150.0,0.0,5.0,13194200000000,1.0,,1/1/2020,2019.0,71.0,,71150.0,57.0,,305000.0,2003-05-14 00:00:00,Single Family Residence
17,2.0,6.0,2.0,0.0,2.0,2,1.0,12.0,2.0,,2963 NORTH LAWNDALE AVENUE,0.0,1.0,1.0,1.0,3.0,,,"276,990",2,211,MULTI: 2 TO 6 UNITS,2.0,2.0,,1.0,1.0,,2.0,1912934120.0,0.0,1.0,0.0,0,nan,0.0,0.0,0,,2.0,,"48,000",3000,41.93549769,-87.72043921,MF,70.0,0.0,2.0,13261200000000,1.0,,1/1/2020,2019.0,71.0,,7170.0,110.0,,498000.0,2020-02-21 00:00:00,Apartment house (5+ units)
18,1.0,3.0,2.0,0.0,1.0,1.5,0.0,6.0,0.0,,6937 NORTH OLCOTT AVENUE,0.0,1.0,1.0,1.0,3.0,,,"289,960",5,203,MEDIUM 1 STORY,1.0,0.0,,0.0,1.0,,2.0,1913513121.0,0.0,1.0,0.0,1,nan,1.0,0.0,0,,2.0,,"99,220",7350,42.0071972,-87.81328206,SF,362.0,0.0,5.0,9362180000000,1.0,,1/1/2020,2019.0,71.0,,71362.0,103.0,,362500.0,2020-02-06 00:00:00,Single Family Residence
19,1.0,3.0,2.0,0.0,1.0,1,0.0,5.0,0.0,,5341 NORTH RAVENSWOOD AVENUE,0.0,3.0,0.0,1.0,1.0,,,"284,940",1,202,SMALL 1 STORY,1.0,0.0,,0.0,1.0,,2.0,1914218029.0,0.0,2.0,0.0,1,nan,1.0,0.0,0,,2.0,,"146,050",3175,41.97919397,-87.67405527,SF,31.0,0.0,5.0,14072100000000,1.0,,1/1/2020,2019.0,73.0,,7331.0,55.0,,378000.0,2020-02-21 00:00:00,Single Family Residence
